Day of Week,Entry Time,Exit Time,Meal Type,Number of People,Time Spent (minutes),Bill Amount ($),Gender,Table Location,Reservation,Customer Satisfaction,Live Music,Age Group,Weather Condition
Friday,12:35,14:28,Dinner,2,113,113.27,Other,Window,Yes,5,No,46-55,Rainy
Tuesday,13:40,15:29,Breakfast,4,109,69.23,Other,Outdoor,No,3,No,18-24,Clear
Wednesday,20:13,22:50,Dinner,2,157,13.32,Male,Booth,Yes,1,Yes,56+,Clear
Saturday,16:30,18:06,Dinner,6,96,10.55,Other,Outdoor,No,3,Yes,36-45,Cloudy
Sunday,15:48,18:26,Breakfast,5,158,119.18,Male,Outdoor,No,1,No,36-45,Rainy
Tuesday,20:25,21:08,Breakfast,1,43,82.45,Other,Window,No,3,No,25-35,Rainy
Wednesday,17:07,19:26,Lunch,3,139,88.09,Female,Booth,No,3,Yes,18-24,Sunny
Thursday,06:50,09:17,Breakfast,4,147,14.98,Female,Booth,Yes,1,No,46-55,Clear
Monday,12:26,14:28,Lunch,2,122,38.02,Male,Window,No,3,Yes,25-35,Rainy
Monday,07:27,08:45,Lunch,5,78,90.83,Female,Outdoor,Yes,5,No,46-55,Clear
Sunday,16:25,18:27,Breakfast,6,122,35.53,Other,Window,Yes,4,Yes,46-55,Clear
Wednesday,15:34,17:22,Dinner,1,108,25.35,Male,Booth,Yes,3,No,36-45,Sunny
Friday,10:01,12:22,Lunch,6,141,112.3,Male,Booth,No,1,Yes,56+,Sunny
Sunday,15:49,18:32,Lunch,1,163,98.75,Male,Booth,Yes,4,Yes,25-35,Clear
Wednesday,21:52,00:32,Breakfast,1,160,37.1,Male,Outdoor,Yes,4,No,18-24,Cloudy
Thursday,07:45,09:45,Dinner,4,120,44.9,Female,Booth,Yes,2,Yes,36-45,Sunny
Thursday,07:56,09:11,Dinner,6,75,12.01,Male,Outdoor,No,1,No,18-24,Cloudy
Sunday,06:13,07:30,Dinner,3,77,103.72,Other,Window,No,3,No,36-45,Cloudy
Sunday,18:05,19:40,Breakfast,5,95,75.92,Female,Outdoor,Yes,2,Yes,18-24,Rainy
Monday,16:25,18:25,Lunch,2,120,75.98,Female,Window,No,4,Yes,56+,Cloudy
Thursday,12:59,14:44,Breakfast,5,105,107.27,Other,Window,No,3,Yes,36-45,Clear
Saturday,16:02,17:25,Breakfast,6,83,100.49,Other,Window,Yes,5,No,25-35,Sunny
Monday,20:02,21:46,Dinner,2,104,141.9,Female,Outdoor,Yes,2,No,46-55,Sunny
Thursday,19:09,19:58,Dinner,6,49,142.02,Female,Booth,Yes,1,Yes,56+,Rainy
Thursday,13:38,16:30,Breakfast,5,172,141,Male,Booth,No,4,No,25-35,Rainy
Sunday,20:58,23:43,Lunch,5,165,137.85,Female,Window,Yes,5,No,18-24,Rainy
Wednesday,10:00,12:49,Dinner,1,169,140.88,Other,Outdoor,No,4,Yes,18-24,Cloudy
Friday,07:12,08:14,Dinner,3,62,141.96,Male,Outdoor,No,3,Yes,36-45,Clear
Thursday,16:00,17:42,Lunch,4,102,77.44,Other,Window,Yes,1,No,18-24,Cloudy
Saturday,15:48,17:35,Dinner,4,107,46.82,Female,Outdoor,No,1,No,36-45,Clear
Monday,09:40,10:59,Breakfast,5,79,47.8,Female,Booth,Yes,5,No,46-55,Cloudy
Saturday,12:55,15:21,Breakfast,2,146,86.1,Male,Booth,No,5,Yes,56+,Cloudy
Thursday,07:55,09:15,Breakfast,5,80,65.09,Female,Booth,Yes,3,No,36-45,Rainy
Saturday,19:02,19:33,Dinner,1,31,62,Female,Booth,Yes,2,Yes,25-35,Clear
Wednesday,11:39,13:24,Dinner,5,105,120.06,Female,Booth,Yes,1,No,25-35,Sunny
Thursday,18:15,19:56,Breakfast,6,101,46.23,Other,Booth,Yes,3,No,25-35,Cloudy
Wednesday,19:56,21:41,Breakfast,5,105,19.58,Female,Booth,No,2,No,18-24,Sunny
Sunday,18:18,19:55,Breakfast,2,97,138.05,Other,Booth,No,4,No,36-45,Cloudy
Thursday,16:21,19:20,Breakfast,4,179,23.73,Female,Window,Yes,4,No,56+,Sunny
Sunday,10:07,10:56,Lunch,6,49,25.29,Female,Booth,No,5,Yes,36-45,Rainy
Friday,14:56,15:30,Dinner,6,34,147.46,Male,Outdoor,No,1,No,36-45,Rainy
Tuesday,15:22,16:37,Dinner,2,75,128.08,Female,Booth,Yes,5,Yes,18-24,Sunny
Saturday,20:00,22:14,Lunch,6,134,129.23,Male,Window,Yes,1,No,56+,Rainy
Saturday,15:14,17:08,Lunch,6,114,18.28,Other,Window,No,5,No,56+,Sunny
Thursday,14:53,17:22,Lunch,2,149,43.36,Male,Window,No,5,No,36-45,Clear
Wednesday,20:18,20:59,Dinner,6,41,129.85,Other,Window,Yes,4,No,36-45,Rainy
Tuesday,14:21,16:48,Dinner,1,147,121.65,Other,Booth,Yes,1,No,36-45,Rainy
Wednesday,08:01,10:48,Lunch,2,167,142.77,Male,Booth,No,5,Yes,56+,Sunny
Sunday,16:12,18:22,Breakfast,6,130,120.56,Male,Booth,No,5,Yes,46-55,Clear
Tuesday,08:40,10:11,Lunch,2,91,64.94,Female,Booth,Yes,5,No,56+,Cloudy
Monday,14:42,15:37,Lunch,1,55,132.48,Other,Window,No,3,No,25-35,Cloudy
Thursday,08:57,10:59,Lunch,2,122,104.66,Male,Booth,No,4,Yes,56+,Clear
Friday,18:56,21:26,Dinner,1,150,101.69,Female,Booth,No,1,No,18-24,Cloudy
Saturday,21:09,22:35,Lunch,1,86,83.98,Male,Outdoor,Yes,5,Yes,25-35,Clear
Thursday,15:35,17:44,Breakfast,1,129,122.07,Other,Window,No,5,No,56+,Rainy
Monday,16:57,19:35,Lunch,1,158,145.55,Other,Window,No,2,No,56+,Cloudy
Sunday,21:04,23:16,Breakfast,5,132,49.94,Male,Window,No,4,Yes,25-35,Sunny
Tuesday,11:58,12:57,Dinner,3,59,31.6,Female,Window,No,2,No,46-55,Sunny
Tuesday,18:09,20:50,Dinner,6,161,144.46,Male,Booth,Yes,3,Yes,56+,Clear
Saturday,07:21,09:52,Dinner,3,151,74.34,Female,Booth,No,5,No,46-55,Sunny
Friday,06:53,08:17,Lunch,1,84,11.31,Other,Booth,No,3,No,25-35,Cloudy
Thursday,20:24,23:06,Lunch,3,162,57.88,Other,Window,No,3,Yes,18-24,Rainy
Monday,21:53,00:40,Breakfast,1,167,114.48,Female,Booth,No,4,No,18-24,Clear
Tuesday,14:28,16:50,Breakfast,6,142,38.33,Other,Window,No,2,Yes,46-55,Clear
Friday,17:43,19:06,Dinner,6,83,106.38,Female,Outdoor,No,5,Yes,46-55,Rainy
Thursday,21:59,00:25,Breakfast,6,146,96.97,Female,Outdoor,Yes,3,Yes,25-35,Clear
Sunday,19:34,21:19,Dinner,1,105,106.67,Other,Outdoor,Yes,1,No,36-45,Rainy
Monday,20:20,22:57,Breakfast,1,157,74.05,Female,Booth,Yes,5,Yes,56+,Rainy
Saturday,06:47,09:34,Lunch,6,167,67.84,Female,Window,Yes,2,Yes,36-45,Sunny
